text_clean,label
cả vạn công_chức hoàn_thành nhiệm_vụ nhưng còn hạn_chế năng_lực trong tổng_số hơn công_chức có người hoàn_thành nhiệm_vụ nhưng còn hạn_chế về năng_lực,0
thâm_nhập phòng_khám nam khang phát_hiện nhiều hoạt_động mờ ám_nhóm phóng_viên chuyển_động h đã thâm_nhập ghi lại những hoạt_động mờ_ám bên trong phòng_khám nam khang hà_nội,0
bà hoàng_thị thúy_lan tiếp_tục giữ chức chủ_tịch hđnd tỉnh vĩnh_phúc bà hoàng_thị thúy lan bí_thư tỉnh ủy chủ_tịch hđnd tỉnh vĩnh_phúc khóa xvi tái đắc_cử chủ_tịch hđnd tỉnh khóa xvii nhiệm_kỳ,0
những cầu cạn trên cao_tốc vũng áng bùng_hà_tĩnh các đơn_vị đang gấp_rút hoàn_tất cầu cạn vượt núi hồ đập thung_lũng trên cao_tốc vũng áng bùng_đoạn qua thị_xã kỳ_anh để kịp thông xe cuối tháng,0
khôi_phục đoàn tàu khách liên_vận việt_nam trung_quốc tàu khách liên_vận quốc_tế việt trung_chạy qua cửa_khẩu đồng đăng_lạng sơn bằng tường trung_quốc được khôi_phục từ cuối tháng sau năm tạm dừng,0
đội phó csgt đi camry biển giả bị kỷ_luật ngang_nhiên sử_dụng ô_tô camry biển số giả_đội phó đội csgt công_an huyện đồng_hỷ thái_nguyên đã bị kỷ_luật,0
tphcm đề_xuất tăng học_phí cao gấp lần chính_quyền thành_phố đề_xuất tăng học_phí ở các bậc học trừ tiểu_học với mức tăng cao từ lần đến lần so với mức hiện_hành,0
tổng_bí_thư đảng lãnh_đạo tuyệt_đối trực_tiếp toàn_diện đối_với công_an nhân_dân tổng_bí_thư nguyễn_phú_trọng đề_nghị đảng_ủy công_an trung_ương phải luôn_luôn kiên_định nguyên_tắc đảng lãnh_đạo tuyệt_đối trực_tiếp toàn_diện về mọi mặt đối_với công_an nhân_dân từ trung_ương đến cơ_sở,0
đang làm rõ động_cơ của kẻ khống_chế con_tin ở hn cơ_quan điều_tra đang tiếp_tục làm rõ xem bình có hành_vi cố_ý gây thương_tích hay không,0
ngóc_ngách nghề kiếm tiền đô_đa quốc_gia giới trẻ việt bắt_đầu tham_gia vào mạng_lưới việc_làm upwork tiền_thân là odesk tuy_nhiên kiếm tiền ở môi_trường quốc_tế không trải đầy hoa_hồng,0
hạ_tầng đường_sắt quốc_gia ga hà_nội sẽ được di_dời cơ_sở_hạ_tầng đường_sắt quốc_gia tại ga hà_nội ga giáp_bát sẽ được di_dời để có mặt_bằng xây_dựng tuyến tàu_điện yên_viên ngọc_hồi theo bộ giao_thông vận_tải,0
báo_chí bảo_vệ nền_tảng tư_tưởng của đảng_trưởng ban tuyên_giáo_tư quán_triệt nghị_quyết của bộ chính_trị về tăng_cường bảo_vệ nền_tảng tư_tưởng của đảng đấu_tranh phản_bác các quan_điểm sai_trái thù_địch trong tình_hình mới,0
đồng nai muốn có cơ_chế đặc_thù để đầu_tư metro nối tp hcm đồng_nai đề_xuất đầu_tư tuyến metro dài hơn km từ tp hcm qua trung_tâm hành_chính tỉnh và sân_bay long thành theo hình_thức đối_tác công_tư ppp,0
tổng tiền_lương cho ba năm tới tăng lên tỷ đồng_bộ_trưởng nội_vụ cho biết tổng kinh_phí để điều_chỉnh tăng lương cơ_sở lương hưu trợ_cấp quỹ tiền thưởng trong ba năm tới sẽ tăng lên tỷ đồng,0
đình_chỉ học nữ_sinh bị đánh quá nóng_vội liên_quan đến vụ nữ_sinh trường thpt mai_thúc loan lộc hà_hà_tĩnh bị đánh hội_đồng phải nhập_viện còn bị nhà_trường đình_chỉ học một tuần giám_đốc sở gd_đt cho rằng hiệu_trưởng quá nóng_vội thiếu cân_nhắc,0
dự_báo thời_tiết miền bắc nắng mạnh trước khi mưa lớn dồn_dập do bão_matmo dự_báo thời_tiết bão số matmo đạt cấp cực_đại khi đi qua khu_vực bán_đảo lôi_châu trung_quốc miền bắc tiếp_tục có nắng đến trên độ riêng nam trung_bộ cao_nguyên trung_bộ và nam_bộ mưa to cục_bộ,0
ôtô đấu đầu người chết tp huế xe_khách giường_nằm tông trực_diện ôtô_tải trên cao_tốc cam_lộ la_sơn khiến người chết người bị_thương khuya,0
xe_khách từ tp hcm về quảng_trị vượt chốt kiểm_tra bị phạt triệu sở gtvt tỉnh quảng_trị vừa ra quyết_định xử_phạt công_ty tnhh mtv thành liên_quảng_trị chủ nhà_xe tân_quang dũng triệu đồng,0
rủ nhau tắm sông hai chị_em ruột chết_đuối ông hồ xuân trính chủ_tịch ubnd xã kỳ_khang_kỳ anh hà_tĩnh cho biết ở địa_bàn xảy ra vụ đuối nước thương_tâm khiến hai chị_em ruột tử_vong,0
tạm giữ quái_xế chặn quốc_lộ đua xe ở tp hcm clip người đi đường quay lại cho thấy có hàng trăm quái_xế đã chặn quốc_lộ đoạn qua huyện hóc_môn tp hcm để làm đường đua,0
ha nô i sâ p tường trươ ng mâ m non_ngươ i chết khi nhóm thi_công pha dơ công_tri nh trong khuôn_viên trươ ng mâ m non ở phô hoa ng văn_tha i ha nô i một bức tươ ng bi_sâ p khiê n người thương_vong,0
